Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Angola,AGO,74.9449996948242,74.9410018920898,75.306999206543,75.3440017700195,75.3889999389648,75.4329986572266,75.4649963378906,75.4789962768555,75.4700012207031,75.4509963989258,75.4120025634766,75.3720016479492
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Bangladesh,BGD,23.6180000305176,26.5170001983643,29.882999420166,30.371000289917,30.8640003204346,31.3640003204346,31.871000289917,32.3839988708496,32.8899993896484,35.8520011901855,35.9990005493164,36.1430015563965
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Bhutan,BTN,55.7309989929199,57.2060012817383,64.556999206543,62.2700004577637,63.5029983520508,58.1870002746582,54.9309997558594,57.7649993896484,57.8950004577637,57.9790000915527,58.2029991149902,58.3889999389648
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Bolivia,BOL,55.1080017089844,59.2239990234375,62.0190010070801,61.6510009765625,57.9440002441406,58.8209991455078,60.9000015258789,54.5089988708496,60.3219985961914,56.5859985351563,56.5950012207031,56.6110000610352
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Cabo Verde,CPV,42.2760009765625,50.7680015563965,58.6940002441406,59.6730003356934,60.6599998474121,61.6380004882813,62.5909996032715,63.5060005187988,64.1230010986328,64.6829986572266,65.1159973144531,65.5100021362305
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Cambodia,KHM,77.052001953125,76.6210021972656,81.8410034179688,80.6600036621094,79.4130020141602,78.1080017089844,76.745002746582,75.3239974975586,75.2229995727539,75.1320037841797,75.1699981689453,75.2009963989258
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Cameroon,CMR,78.1360015869141,77.9960021972656,70.5810012817383,70.6839981079102,70.7990036010742,70.9229965209961,71.0469970703125,71.1699981689453,71.2720031738281,71.3730010986328,71.2040023803711,71.0270004272461
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Comoros,COM,30.0499992370605,31.7569999694824,35.0940017700195,35.375,35.6720008850098,35.9780006408691,36.2939987182617,36.6209983825684,36.8969993591309,37.2109985351563,37.4290008544922,37.6419982910156
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,"Congo, Rep.",COG,64.8300018310547,66.1050033569336,67.4339981079102,67.3759994506836,67.3089981079102,67.2350006103516,67.1589965820313,67.0810012817383,67.0449981689453,67.0309982299805,66.9329986572266,66.822998046875
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Cote d'Ivoire,CIV,47.8019981384277,48.4080009460449,48.1660003662109,48.1240005493164,48.0859985351563,48.0550003051758,48.0379981994629,48.0410003662109,48.0530014038086,48.2190017700195,48.2789993286133,48.3479995727539
